school_name,city_name,state_name,cost,grad_rate,salary,website
Samford University,Birmingham,AL,"$29,026",73%,"$49,900",http://www.samford.edu
Auburn University,Auburn,AL,"$21,984",74%,"$48,800",http://www.auburn.edu
Birmingham Southern College,Birmingham,AL,"$23,227",64%,"$46,700",http://www.bsc.edu/
University of Alabama in Huntsville,Huntsville,AL,"$19,423",49%,"$46,700",http://www.uah.edu
Spring Hill College,Mobile,AL,"$5,772",53%,"$45,100",http://www.shc.edu
The University of Alabama,Tuscaloosa,AL,"$21,676",68%,"$44,500",http://www.ua.edu/
Marion Military Institute,Marion,AL,"$11,051",29%,"$42,700",http://www.marionmilitary.edu
University of Alabama at Birmingham,Birmingham,AL,"$16,475",54%,"$41,200",http://www.uab.edu
Huntingdon College,Montgomery,AL,"$20,359",40%,"$39,900",http://www.huntingdon.edu
University of South Alabama,Mobile,AL,"$14,755",37%,"$37,800",http://www.southalabama.edu
Herzing University-Birmingham,Birmingham,AL,"$21,154",31%,"$37,800",http://www.herzing.edu/
University of North Alabama,Florence,AL,"$11,127",40%,"$37,800",http://www.una.edu
University of West Alabama,Livingston,AL,"$13,227",30%,"$37,400",http://www.uwa.edu
Troy University,Troy,AL,"$11,479",35%,"$37,000",http://www.troy.edu
Jacksonville State University,Jacksonville,AL,"$17,664",33%,"$35,800",http://www.jsu.edu/
Tuskegee University,Tuskegee,AL,"$32,560",46%,"$35,500",http://www.tuskegee.edu
Faulkner University,Montgomery,AL,"$18,298",27%,"$35,400",http://www.faulkner.edu
University of Mobile,Mobile,AL,"$21,533",46%,"$35,200",http://www.umobile.edu
University of Montevallo,Montevallo,AL,"$18,000",47%,"$34,200",http://www.montevallo.edu
South University-Montgomery,Montgomery,AL,"$20,830",7%,"$33,400","http://www.southuniversity.edu/montgomery#location=Montgomery,%20AL"
University of Alaska Anchorage,Anchorage,AK,"$12,680",24%,"$45,400",http://www.uaa.alaska.edu
Alaska Pacific University,Anchorage,AK,"$18,413",50%,"$40,200",http://www.alaskapacific.edu
University of Alaska Fairbanks,Fairbanks,AK,"$10,248",27%,"$38,700",http://www.uaf.edu
University of Alaska Southeast,Juneau,AK,"$9,453",20%,"$36,000",http://www.uas.alaska.edu
